X,Y,waypointna,animalid,latitude,longitude,date,time,oldwaypoin,elevation,type,loc,visual,influenced,before_aft,totalmove,behavior,distobs,distburrow,distcover,plantsinfi,plant1,plant2,plant3,plant4,plant5,plant6,obs,season,Reproducti,indpresent,note,datum,post_note,totallocsa,recordedco,morning,late_morni,burrow_not,X_UTM12N,Y_UTM12N
511406.589200261,3523150.84007356,05.04.17.102,102.000000,31.844000,-110.879442,2017/05/04,1899/12/30,5.4.21,"1,040.50",Telemetry/visual,21.000000,1.000000,0,0,0,vig at burrow,NA,0,0,prickly pear,prickly pear,NA,NA,NA,NA,NA,ADB,B,1,3.000000,"with 3 juveniles, vigilant at burrow, tf. Observe for ~20 minutes",WGS84,"not sure whether these are her juveniles and she moved them across the rd (that seems really far!) or if she was vig for another female. ; also I think this point is pretty far off, probs took it where I observed.? think the point is closer to 5.12.21",0.000000,0.000000,1.000000,0.000000,"think this is the same burrow as 5.12.21, which has better coords. consider throwing this out.",511406.58919999999,3523150.84006999992
511404.120888612,3523158.33454963,5.12.21,102.000000,31.844068,-110.879468,2017/05/12,1899/12/30,,"1,040.74",Telemetry,21.000000,1.000000,1,NA,NA,vig at burrow,NA,0,0,prickly pear,prickly pear,NA,NA,NA,NA,NA,ADB,B,1,0.000000,"found her vig on pp next to burrow she was at before, then she ran off and crossed rd (to E?), found her and another ind. under hack, then she ran off and I found her bnth hack burrow, then ran off again.",WGS84,,2.000000,0.000000,1.000000,0.000000,"seems like there was ~1 week in between these burrow locs, so could have definitely been here every night in between.",511404.12088900001,3523158.33454999980
511097.334252614,3523112.05767353,5.12.237,101.000000,31.843653,-110.882711,2017/05/12,1899/12/30,,"1,034.98",Telemetry,15.000000,1.000000,NA,NA,NA,in burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ADB,B,0,0.000000,glimpse of her? In burrow,WGS84,,1.000000,1.000000,0.000000,1.000000,may have chased her here,511097.33425299998,3523112.05767000001
511560.520793325,3523157.26459881,5.15.21,102.000000,31.844057,-110.877815,2017/05/15,1899/12/30,,"1,044.35",Telemetry,21.000000,0.000000,NA,NA,NA,in burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ADB,B,1,0.000000,fresh feed nearby,WGS84,,0.000000,0.000000,0.000000,0.000000,,511560.52079300000,3523157.26459999988
513254.44056073,3520348.80744855,05.16.17.104,104.000000,31.818700,-110.859950,2017/05/16,1899/12/30,5.16.31.2,"1,134.71",Telemetry,32.000000,0.000000,0,0,0,in burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ADB,J,0,0.000000,"pt on 31.2 in burrow next to wash, no chasing, no visual",WGS84,,0.000000,0.000000,0.000000,0.000000,,513254.44056100002,3520348.80745000020
512059.9877875,3522356.19880183,05.16.17.103,103.000000,31.836824,-110.872546,2017/05/16,1899/12/30,5.16.25,"1,067.66",Telemetry,25.000000,0.000000,1,NA,NA,in burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ADB,J,1,0.000000,"in nice, big burrow, might be awake? Seemed to run away from me once but found her pretty quickly again, no visual",WGS84,,0.000000,0.000000,0.000000,0.000000,,512059.98778700002,3522356.19879999990
511561.376948818,3523153.15894077,05.16.17.102,102.000000,31.844020,-110.877806,2017/05/16,1899/12/30,5.16.21,"1,043.87",Telemetry,21.000000,0.000000,0,0,0,in burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ADB,J,1,0.000000,"burrow, no vis, no offspring around, no chasing",WGS84,,0.000000,0.000000,0.000000,0.000000,,511561.37694900000,3523153.15893999999
511270.560721307,3523038.98988142,05.16.17.107,107.000000,31.842992,-110.880881,2017/05/16,1899/12/30,5.16.15.1,"1,040.74",Telemetry,15.100000,0.000000,0,0,0,in burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ADB,J,1,0.000000,"same place we trapped her at, in burrow, no chasing",WGS84,,0.000000,0.000000,0.000000,0.000000,,511270.56072100002,3523038.98987999978
511127.791615814,3523120.20077381,05.16.17.101,101.000000,31.843727,-110.882389,2017/05/16,1899/12/30,5.16.237,"1,034.98",Telemetry,15.000000,0.000000,0,0,0,in burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ADB,J,0,0.000000,"in burrow, no visual, no chasing",WGS84,,1.000000,1.000000,0.000000,1.000000,didn't seem to chase her here but seems late in the day,511127.79161600000,3523120.20077000000
508877.245699943,3524134.7248204,05.16.17.105,105.000000,31.852899,-110.906166,2017/05/16,1899/12/30,5.16.5,971.29,Telemetry,5.000000,1.000000,NA,NA,NA,vig at burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ADB,J,1,1.000000,"juvenile nearby; no ear tags.",WGS84,Juv may not be hers- hers probably still in burrow or still in womb,0.000000,0.000000,0.000000,0.000000,,508877.24570000003,3524134.72482000012
508898.159220355,3524128.25766659,05.19.17.105,105.000000,31.852841,-110.905945,2017/05/19,1899/12/30,5.19.5,973.69,Telemetry,6.000000,0.000000,NA,NA,NA,in burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ADB,J,1,0.000000,,WGS84,,0.000000,0.000000,0.000000,0.000000,,508898.15921999997,3524128.25767000020
508764.231240758,3524199.11338926,05.19.17.108,108.000000,31.853481,-110.907360,2017/05/19,1899/12/30,5.19.844,965.76,Telemetry,5.000000,0.000000,NA,NA,NA,in burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ADB,J,1,0.000000,,WGS84,,0.000000,0.000000,0.000000,0.000000,,508764.23124100000,3524199.11339000007
513266.632497777,3520288.42555262,05.22.17.104,104.000000,31.818155,-110.859822,2017/05/22,1899/12/30,5.22.31.2,"1,139.52",Telemetry,32.000000,0.000000,1,NA,NA,in burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ADB,J,0,0.000000,,WGS84,,0.000000,0.000000,0.000000,0.000000,,513266.63249799999,3520288.42554999981
512056.950607767,3522364.09257982,05.22.17.103,103.000000,31.836895,-110.872578,2017/05/22,1899/12/30,5.22.17.25,"1,071.99",Telemetry,25.000000,1.000000,1,1,1,in burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ADB,J,1,1.000000,"in burrow, waited and she and juv appeared 3 min later. They stay w/in 1m of each other and nose to nose contact",WGS84,juv emerges around now,0.000000,0.000000,0.000000,0.000000,,512056.95060799998,3522364.09257999994
511579.881803257,3523188.39142645,05.22.17.102,102.000000,31.844337,-110.877610,2017/05/22,1899/12/30,5.22.21,"1,045.79",Telemetry,21.500000,0.000000,NA,NA,NA,in burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ADB,J,1,0.000000,,WGS84,,0.000000,0.000000,0.000000,0.000000,,511579.88180300000,3523188.39142999984
511200.040127738,3522807.5244392,05.22.17.107,107.000000,31.840905,-110.881629,2017/05/22,1899/12/30,5.22.15.1,"1,052.04",Telemetry,15.100000,1.000000,NA,NA,NA,at burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ADB,J,1,0.000000,,WGS84,,0.000000,0.000000,0.000000,0.000000,,511200.04012800002,3522807.52443999983
511138.519302802,3523174.13493162,05.22.17.101,101.000000,31.844213,-110.882275,2017/05/22,1899/12/30,5.22.237,"1,045.31",Telemetry,15.000000,1.000000,NA,NA,NA,in burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ADB,J,0,0.000000,,WGS84,,1.000000,1.000000,0.000000,1.000000,no plants recorded :(,511138.51930300001,3523174.13493000017
508788.51744904,3524120.53636433,05.24.17.108,108.000000,31.852772,-110.907104,2017/05/24,1899/12/30,5.24.884,975.62,Telemetry,6.000000,1.000000,1,NA,NA,in burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ADB,J,1,0.000000,runs N (?) toward direction of other burrow,WGS84,,0.000000,0.000000,0.000000,0.000000,,508788.51744899998,3524120.53635999979
508919.452812159,3524119.92433922,05.24.17.105,105.000000,31.852766,-110.905720,2017/05/24,1899/12/30,5.24.755,975.62,Telemetry,7.000000,0.000000,NA,NA,NA,in burrow,NA,0,0,cholla,cholla,NA,NA,NA,NA,NA,ADB,J,1,0.000000,,WGS84,,0.000000,0.000000,0.000000,0.000000,,508919.45281200000,3524119.92433999991
513245.111842582,3520317.17067085,05.25.17.104,104.000000,31.818415,-110.860049,2017/05/25,1899/12/30,5.25.095,"1,136.40",Telemetry,32.000000,0.000000,NA,NA,NA,in burrow,NA,0,0,prickly pear,prickly pear,NA,NA,NA,NA,NA,ADB,J,0,0.000000,"waited a few min-nothing; feeding sign on pp nearby",WGS84,,0.000000,0.000000,0.000000,0.000000,,513245.11184299999,3520317.17066999990
512016.50708537,3522317.16548858,05.25.17.103.2,103.000000,31.836473,-110.873006,2017/05/25,1899/12/30,5.25.505,"1,088.09",Telemetry,25.000000,1.000000,NA,NA,NA,in burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ADB,J,1,0.000000,vis as dove in burrow- waited for 5 min- nothing,WGS84,,0.000000,0.000000,0.000000,0.000000,,512016.50708499999,3522317.16549000004
511129.438365783,3523084.85237012,05.25.17.101,101.000000,31.843408,-110.882372,2017/05/25,1899/12/30,5.25.237,"1,040.50",Telemetry,14.500000,0.000000,NA,NA,NA,in burrow,NA,0,0,prickly pear,prickly pear,NA,NA,NA,NA,NA,ADB,J,0,0.000000,,WGS84,,1.000000,1.000000,0.000000,1.000000,,511129.43836600002,3523084.85236999998
508745.525212887,3524168.77271857,5.30.844,108.000000,31.853208,-110.907558,2017/05/30,1899/12/30,,970.81,Telemetry,5.000000,1.000000,1,NA,NA,in burrow,NA,0,0,cholla,cholla,NA,NA,NA,NA,NA,"ADB, AMB, MAB",J,1,1.000000,".844 runs to burrow when we isolate, obs at burrow: see field journal. 1 unmarked individual with her.",WGS84,weaning?,0.000000,0.000000,0.000000,0.000000,,508745.52521300002,3524168.77271999978
511181.724038056,3523118.6898311,5.30.5138,101.000000,31.843712,-110.881819,2017/05/30,1899/12/30,,"1,041.23",Telemetry,15.000000,0.000000,0,NA,NA,in burrow,NA,0,0,prickly pear,prickly pear,NA,NA,NA,NA,NA,ADB,J,0,0.000000,,WGS84,,1.000000,1.000000,0.000000,1.000000,,511181.72403799999,3523118.68983000005
511990.422488965,3522371.43769542,6.1.3843,109.000000,31.836962,-110.873281,2017/06/01,1899/12/30,,"1,073.43",Telemetry,25.000000,0.000000,0,0,0,in burrow,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,AMB,J,NA,0.000000,obs at burrow for 8 minutes but no visual,WGS84,,0.000000,0.000000,0.000000,0.000000,,511990.42248900002,3522371.43770000013
508831.748957154,3524124.57809642,06.07.17.105,105.000000,31.852808,-110.906647,2017/06/07,1899/12/30,6.7.6146,972.73,Telemetry,6.000000,0.000000,1,NA,NA,in burrow,NA,0,0,hackberry,hackberry,NA,NA,NA,NA,NA,ADB,J,1,0.000000,think we chased her,WGS84,,0.000000,0.000000,0.000000,0.000000,,508831.74895699997,3524124.57810000004
511298.699820949,3522918.29170131,06.07.17.107,107.000000,31.841903,-110.880585,2017/06/07,1899/12/30,6.7.7136,"1,046.51",Telemetry,15.100000,1.000000,1,NA,NA,vig at burrow,10,0,0,hackberry,hackberry,NA,NA,NA,NA,NA,ADB,J,NA,0.000000,"at base of hackberry, then ran away",WGS84,,0.000000,0.000000,0.000000,0.000000,,511298.69982099999,3522918.29169999994
512011.427012286,3522372.8366366,06.07.17.103,103.000000,31.836975,-110.873059,2017/06/07,1899/12/30,6.7.0338,"1,062.37",Telemetry,25.000000,0.000000,1,NA,NA,in burrow,NA,0,0,NA,NA,NA,NA,NA,NA,NA,ADB,J,1,0.000000,,WGS84,,0.000000,0.000000,0.000000,0.000000,,512011.42701200000,3522372.83663999988
513207.278520491,3520446.50067686,06.07.17.104,104.000000,31.819582,-110.860447,2017/06/07,1899/12/30,6.7.0936,"1,138.32",Telemetry,32.000000,0.000000,0,NA,NA,in burrow,NA,0,0,NA,NA,NA,NA,NA,NA,NA,ADB,J,0,0.000000,,WGS84,,0.000000,0.000000,0.000000,0.000000,,513207.27851999999,3520446.50068000006
512055.196657649,3522326.68649726,06.08.17.103,103.000000,31.836558,-110.872597,2017/06/08,1899/12/30,6.8.0338,"1,074.15",Telemetry,25.000000,0.000000,0,NA,NA,in burrow,NA,0,0,prickly pear,prickly pear,NA,NA,NA,NA,NA,"ADB, AMB",J,1,0.000000,"waited 10 min, 2 alarm calls to NW but no visual of caller",WGS84,,0.000000,0.000000,0.000000,0.000000,,512055.19665800000,3522326.68649999984
511927.739149959,3522327.26267938,06.08.17.109,109.000000,31.836565,-110.873944,2017/06/08,1899/12/30,6.8.3840,"1,075.83",Telemetry,25.400000,0.000000,0,NA,NA,in burrow,NA,0,0,"mesquite, grass, prickly pear",mesquite,grass,prickly pear,NA,NA,NA,"ADB, AMB",J,NA,0.000000,"in burrow? waited 10 min, alarm calls while we watched",WGS84,,0.000000,0.000000,0.000000,0.000000,,511927.73914999998,3522327.26268000016
511183.869090386,3523060.33825376,06.08.17.101,101.000000,31.843186,-110.881797,2017/06/08,1899/12/30,6.8.5136,"1,042.91",Telemetry,15.000000,0.000000,0,NA,NA,in burrow,NA,0,0,hackberry?,hackberry,NA,NA,NA,NA,NA,"ADB, AMB",J,0,0.000000,collar dying- signal only heard form 30m away,WGS84,,2.000000,1.000000,0.000000,1.000000,,511183.86908999999,3523060.33825000003
511580.170275709,3523184.28512998,06.12.17.102,102.000000,31.844300,-110.877607,2017/06/12,1899/12/30,6.12.5838,"1,051.00",Telemetry,21.000000,1.000000,1,NA,NA,run to burrow,NA,NA,0,prickly pear,prickly pear,NA,NA,NA,NA,NA,ADB,J,NA,0.000000,"running behind pp, in burrow",WGS84,no burrow within 10m… not sure where nearest burrow is…?,0.000000,0.000000,0.000000,0.000000,,511580.17027599999,3523184.28513000021
511874.409547761,3522376.59893134,6.12.17.384,109.000000,31.837010,-110.874507,2017/06/12,1899/12/30,,"1,072.00",Telemetry,25.400000,0.000000,1,NA,NA,in burrow,NA,0,0,prickly pear,prickly pear,NA,NA,NA,NA,NA,ADB,J,NA,0.000000,"Waited 5 min- nothing; didn't run too much",WGS84,,0.000000,0.000000,0.000000,0.000000,,511874.40954800003,3522376.59892999986
513214.155288732,3520397.71679673,06.12.17.036,104.000000,31.819142,-110.860375,2017/06/12,1899/12/30,,"1,134.00",Telemetry,32.000000,0.000000,0,NA,NA,in burrow,NA,0,0,prickly pear,prickly pear,NA,NA,NA,NA,NA,ADB,J,0,0.000000,,WGS84,,0.000000,0.000000,0.000000,0.000000,,513214.15528900002,3520397.71680000005
512062.67149592,3522326.99231844,06.13.17.0338,103.000000,31.836561,-110.872518,2017/06/13,1899/12/30,,"1,076.00",Telemetry,25.000000,0.000000,0,NA,NA,in burrow,NA,0,0,pirckly pear,prickly pear,NA,NA,NA,NA,NA,ADB,J,1,0.000000,,WGS84,,0.000000,0.000000,0.000000,0.000000,,512062.67149600002,3522326.99232000019
512037.799541005,3522395.97317422,06.14.17.035.2,103.000000,31.837183,-110.872780,2017/06/14,1899/12/30,6.14.035,"1,073.00",Telemetry,25.000000,0.000000,0,NA,NA,in burrow,NA,0,6,NA,NA,NA,NA,NA,NA,NA,ADB,J,1,0.000000,"no vegetation w/in 5m, next to wash",WGS84,>5m from cover,0.000000,0.000000,0.000000,0.000000,,512037.79954099999,3522395.97317000013
511936.467617912,3522307.30722749,06.14.17.384,109.000000,31.836384,-110.873852,2017/06/14,1899/12/30,6.14.384,"1,075.00",Telemetry,25.000000,0.000000,1,NA,NA,in burrow,NA,0,0,prickly pear,prickly pear,NA,NA,NA,NA,NA,ADB,J,NA,0.000000,next to wash,WGS84,,0.000000,0.000000,0.000000,0.000000,,511936.46761800000,3522307.30722999992
513214.730771804,3520465.42614188,06.14.17.0934,104.000000,31.819753,-110.860368,2017/06/14,1899/12/30,6.14.0934,"1,133.00",Telemetry,32.000000,0.000000,0,NA,NA,in burrow,NA,0,0,prickly pear,prickly pear,NA,NA,NA,NA,NA,ADB,J,0,0.000000,,WGS84,,0.000000,0.000000,0.000000,0.000000,,513214.73077199998,3520465.42614000011
508905.286014819,3524201.22319081,06.21.17.683,106.000000,31.853499,-110.905869,2017/06/21,1899/12/30,,975,Telemetry,6.000000,0.000000,0,NA,NA,in burrow,NA,0,NA,mesquite,mesquite,NA,NA,NA,NA,NA,"ADB, AMB",J,1,0.000000,,WGS84,,0.000000,0.000000,0.000000,0.000000,,508905.28601500002,3524201.22318999982
508911.630163781,3524194.78001957,06.21.17.683.2,106.000000,31.853441,-110.905802,2017/06/21,1899/12/30,,975,Telemetry,6.000000,0.000000,0,NA,NA,in burrow,NA,0,NA,mesquite,mesquite,NA,NA,NA,NA,NA,"ADB, AMB",J,1,0.000000,,WGS84,,0.000000,0.000000,0.000000,0.000000,,508911.63016399997,3524194.78001999995
508864.184778902,3524140.8640538,06.21.17.615,105.000000,31.852955,-110.906304,2017/06/21,1899/12/30,,973,Telemetry,5.000000,0.000000,0,NA,NA,in burrow,NA,0,NA,ephedra,ephedra,NA,NA,NA,NA,NA,"ADB, AMB",J,1,0.000000,,WGS84,,0.000000,0.000000,0.000000,0.000000,,508864.18477900000,3524140.86404999997
508628.345420316,3524237.82338511,06.21.17.844,108.000000,31.853831,-110.908796,2017/06/21,1899/12/30,6.21.844,970,Telemetry,5.000000,0.000000,0,NA,NA,in burrow,NA,0,NA,mesquite,mesquite,NA,NA,NA,NA,NA,"ADB, AMB",J,1,0.000000,,WGS84,,0.000000,0.000000,0.000000,0.000000,,508628.34542000003,3524237.82339000003
512046.911552914,3522291.11270145,06.21.17.035,103.000000,31.836237,-110.872685,2017/06/21,1899/12/30,6.21.035,"1,075.00",Telemetry,25.000000,1.000000,0,NA,NA,in burrow,NA,0,NA,"dead cholla, grasses",dead cholla,grass,NA,NA,NA,NA,ADB,J,1,1.000000,in burrow right next to where we saw juv run from…,WGS84,,0.000000,0.000000,0.000000,0.000000,,512046.91155299998,3522291.11269999994
513187.697050035,3520365.64907687,06.21.17.095,104.000000,31.818853,-110.860655,2017/06/21,1899/12/30,,"1,136.00",Telemetry,32.000000,0.000000,NA,NA,NA,in burrow,NA,NA,NA,prickly pear,prickly pear,NA,NA,NA,NA,NA,,J,0,0.000000,no visual- in open area w/ prickly pear patch,WGS84,,0.000000,0.000000,0.000000,0.000000,,513187.69705000002,3520365.64907999989
508743.282769665,3524135.77151504,06.22.17.615,105.000000,31.852910,-110.907582,2017/06/22,1899/12/30,,973,Telemetry,5.000000,0.000000,0,0,0,in burrow,NA,0,0,small mesquite <5m tall,mesquite,NA,NA,NA,NA,NA,ADB,J,1,0.000000,"no movement; voice memo w/ burrow obs",WGS84,,0.000000,0.000000,0.000000,0.000000,,508743.28276999999,3524135.77151999995
513080.382808085,3520433.38799898,06.22.17.0938,104.000000,31.819465,-110.861788,2017/06/22,1899/12/30,06.22.0938,"1,135.00",Telemetry,32.000000,0.000000,0,NA,NA,in burrow,NA,0,NA,"prickly pear, mesquite",prickly pear,mesquite,NA,NA,NA,NA,ADB,J,0,0.000000,took awhile to find- other side of rd,WGS84,,0.000000,0.000000,0.000000,0.000000,,513080.38280800002,3520433.38799999980
513170.946574036,3520364.90272103,06.23.17.0936,104.000000,31.818846,-110.860832,2017/06/23,1899/12/30,,"1,136.00",Telemetry,32.000000,0.000000,0,NA,NA,in burrow,NA,0,NA,"prickly pear, grasses",prickly pear,grass,NA,NA,NA,NA,"ADB, MAB",J,0,0.000000,"very grassy burrow, dead cholla",WGS84,,0.000000,0.000000,0.000000,0.000000,,513170.94657400000,3520364.90272000013
511927.762870122,3522306.82383536,06.23.17.384,109.000000,31.836380,-110.873944,2017/06/23,1899/12/30,,"1,069.00",Telemetry,25.000000,0.000000,0,NA,NA,in burrow,NA,0,NA,"prickly pear, hackberry, grasses",prickly pear,hackberry,grass,NA,NA,NA,"ADB, MAB",J,NA,0.000000,,WGS84,,0.000000,0.000000,0.000000,0.000000,,511927.76286999998,3522306.82384000020
512047.809308438,3522332.4658932,06.23.17.034,103.000000,31.836610,-110.872675,2017/06/23,1899/12/30,,"1,071.00",Telemetry,25.000000,0.000000,0,NA,NA,in burrow,NA,0,NA,"pricklyh pear, palo verde, and grasses",prickly pear,palo verde,grass,NA,NA,NA,"ADB, MAB",J,1,0.000000,,WGS84,,0.000000,0.000000,0.000000,0.000000,,512047.80930800003,3522332.46589000011
511224.039249958,3522838.58025907,06.23.17.714,107.000000,31.841185,-110.881375,2017/06/23,1899/12/30,,"1,046.00",Telemetry,15.000000,0.000000,1,120,120,in burrow,NA,0,NA,"prickly pear, small mesquite, hackberry",prickly pear,mesquite,hackberry,NA,NA,NA,"ADB, MAB",J,NA,0.000000,moved 120m from where we 1st heard stron gsignal (>6 bars),WGS84,,0.000000,0.000000,0.000000,0.000000,,511224.03924999997,3522838.58026000019
512061.254118197,3522325.31918968,6.28.17.034,103.000000,31.836546,-110.872533,2017/06/28,1899/12/30,,"1,071.00",Telemetry,25.000000,0.000000,0,0,0,in burrow,NA,0,NA,"p. pear, hackberry, grass",prickly pear,hackberry,grass,NA,NA,NA,"AMB, ERS",J,1,0.000000,no visual,WGS84,,0.000000,0.000000,0.000000,0.000000,,512061.25411799998,3522325.31919000018
511584.680063513,3523212.4214035,6.28.17.5838,102.000000,31.844554,-110.877559,2017/06/28,1899/12/30,,"1,048.00",Telemetry,21.000000,0.000000,0,0,0,in burrow,NA,0,0,"hackberry, grass",hackberry,grass,NA,NA,NA,NA,"AMB, ERS",J,NA,0.000000,picked up signal 10m away from burrow. Waited outside burrow but no visual,WGS84,,0.000000,0.000000,0.000000,0.000000,,511584.68006400001,3523212.42139999988
511915.804572667,3522337.70990254,6.29.17.3838,109.000000,31.836659,-110.874070,2017/06/29,1899/12/30,,"1,074.00",Telemetry,25.400000,0.000000,1,82,82,in burrow,NA,0,NA,"p. pear, mesquite, grass",prickly pear,mesquite,grass,NA,NA,NA,"AMB, ERS",J,NA,0.000000,"heard beeps south, gave up and started walking back to truck when we picked up her signal again about 82m from where we heard the first beeps. we were about 10m from where we picked up her signal again to the burrow she was in.",WGS84,,0.000000,0.000000,0.000000,0.000000,,511915.80457300000,3522337.70990000013
